"date"	"level"
2016-01-01	75
2016-01-02	74
2016-01-03	80
2016-01-04	89
2016-01-05	108
2016-01-06	141
2016-01-07	174
2016-01-08	182
2016-01-09	186
2016-01-10	200
2016-01-11	244
2016-01-12	294
2016-01-13	347
2016-01-14	380
2016-01-15	378
2016-01-16	351
2016-01-17	315
2016-01-18	273
2016-01-19	238
2016-01-20	220
2016-01-21	206
2016-01-22	192
2016-01-23	181
2016-01-24	174
2016-01-25	171
2016-01-26	174
2016-01-27	181
2016-01-28	186
2016-01-29	190
2016-01-30	200
2016-01-31	216
2016-02-01	238
2016-02-02	328
2016-02-03	396
2016-02-04	404
2016-02-05	391
2016-02-06	385
2016-02-07	373
2016-02-08	354
2016-02-09	343
2016-02-10	390
2016-02-11	414
2016-02-12	414
2016-02-13	394
2016-02-14	378
2016-02-15	378
2016-02-16	382
2016-02-17	371
2016-02-18	344
2016-02-19	319
2016-02-20	293
2016-02-21	293
2016-02-22	320
2016-02-23	346
2016-02-24	376
2016-02-25	390
2016-02-26	385
2016-02-27	364
2016-02-28	343
2016-02-29	315
2016-03-01	289
2016-03-02	275
2016-03-03	273
2016-03-04	294
2016-03-05	322
2016-03-06	328
2016-03-07	334
2016-03-08	342
2016-03-09	328
2016-03-10	311
2016-03-11	290
2016-03-12	272
2016-03-13	256
2016-03-14	241
2016-03-15	226
2016-03-16	217
2016-03-17	209
2016-03-18	200
2016-03-19	190
2016-03-20	187
2016-03-21	181
2016-03-22	173
2016-03-23	171
2016-03-24	166
2016-03-25	163
2016-03-26	166
2016-03-27	168
2016-03-28	168
2016-03-29	169
2016-03-30	174
2016-03-31	179
2016-04-01	208
2016-04-02	231
2016-04-03	222
2016-04-04	216
2016-04-05	211
2016-04-06	220
2016-04-07	225
2016-04-08	229
2016-04-09	226
2016-04-10	219
2016-04-11	209
2016-04-12	198
2016-04-13	197
2016-04-14	206
2016-04-15	211
2016-04-16	216
2016-04-17	237
2016-04-18	296
2016-04-19	359
2016-04-20	376
2016-04-21	371
2016-04-22	350
2016-04-23	314
2016-04-24	290
2016-04-25	280
2016-04-26	296
2016-04-27	304
2016-04-28	304
2016-04-29	294
2016-04-30	283
2016-05-01	270
2016-05-02	270
2016-05-03	287
2016-05-04	303
2016-05-05	297
2016-05-06	285
2016-05-07	266
2016-05-08	249
2016-05-09	234
2016-05-10	219
2016-05-11	217
2016-05-12	213
2016-05-13	214
2016-05-14	247
2016-05-15	316
2016-05-16	374
2016-05-17	410
2016-05-18	403
2016-05-19	372
2016-05-20	347
2016-05-21	328
2016-05-22	322
2016-05-23	307
2016-05-24	293
2016-05-25	296
2016-05-26	318
2016-05-27	330
2016-05-28	327
2016-05-29	326
2016-05-30	380
2016-05-31	493
2016-06-01	477
2016-06-02	435
2016-06-03	419
2016-06-04	406
2016-06-05	408
2016-06-06	419
2016-06-07	417
2016-06-08	405
2016-06-09	405
2016-06-10	427
2016-06-11	434
2016-06-12	444
2016-06-13	455
2016-06-14	472
2016-06-15	476
2016-06-16	483
2016-06-17	481
2016-06-18	484
2016-06-19	507
2016-06-20	524
2016-06-21	519
2016-06-22	499
2016-06-23	476
2016-06-24	455
2016-06-25	454
2016-06-26	467
2016-06-27	453
2016-06-28	452
2016-06-29	438
2016-06-30	420
2016-07-01	399
2016-07-02	382
2016-07-03	376
2016-07-04	364
2016-07-05	348
2016-07-06	334
2016-07-07	316
2016-07-08	297
2016-07-09	283
2016-07-10	268
2016-07-11	253
2016-07-12	243
2016-07-13	246
2016-07-14	269
2016-07-15	308
2016-07-16	327
2016-07-17	335
2016-07-18	327
2016-07-19	309
2016-07-20	289
2016-07-21	272
2016-07-22	275
2016-07-23	273
2016-07-24	279
2016-07-25	265
2016-07-26	253
2016-07-27	247
2016-07-28	253
2016-07-29	255
2016-07-30	243
2016-07-31	229
2016-08-01	217
2016-08-02	214
2016-08-03	220
2016-08-04	217
2016-08-05	214
2016-08-06	226
2016-08-07	247
2016-08-08	269
2016-08-09	260
2016-08-10	241
2016-08-11	229
2016-08-12	225
2016-08-13	222
2016-08-14	214
2016-08-15	206
2016-08-16	198
2016-08-17	189
2016-08-18	184
2016-08-19	182
2016-08-20	187
2016-08-21	192
2016-08-22	192
2016-08-23	181
2016-08-24	178
2016-08-25	174
2016-08-26	166
2016-08-27	164
2016-08-28	161
2016-08-29	154
2016-08-30	151
2016-08-31	148
2016-09-01	142
2016-09-02	141
2016-09-03	141
2016-09-04	137
2016-09-05	134
2016-09-06	132
2016-09-07	142
2016-09-08	166
2016-09-09	166
2016-09-10	161
2016-09-11	156
2016-09-12	149
2016-09-13	146
2016-09-14	142
2016-09-15	134
2016-09-16	130
2016-09-17	127
2016-09-18	128
2016-09-19	148
2016-09-20	148
2016-09-21	142
2016-09-22	132
2016-09-23	127
2016-09-24	121
2016-09-25	116
2016-09-26	111
2016-09-27	107
2016-09-28	109
2016-09-29	110
2016-09-30	103
2016-10-01	100
2016-10-02	100
2016-10-03	98
2016-10-04	96
2016-10-05	92
2016-10-06	86
2016-10-07	84
2016-10-08	80
2016-10-09	81
2016-10-10	77
2016-10-11	77
2016-10-12	72
2016-10-13	67
2016-10-14	68
2016-10-15	66
2016-10-16	68
2016-10-17	66
2016-10-18	66
2016-10-19	67
2016-10-20	77
2016-10-21	95
2016-10-22	106
2016-10-23	98
2016-10-24	84
2016-10-25	95
2016-10-26	105
2016-10-27	116
2016-10-28	127
2016-10-29	134
2016-10-30	121
2016-10-31	111
2016-11-01	108
2016-11-02	99
2016-11-03	96
2016-11-04	91
2016-11-05	90
2016-11-06	97
2016-11-07	101
2016-11-08	116
2016-11-09	127
2016-11-10	128
2016-11-11	139
2016-11-12	171
2016-11-13	219
2016-11-14	217
2016-11-15	184
2016-11-16	168
2016-11-17	168
2016-11-18	173
2016-11-19	182
2016-11-20	194
2016-11-21	219
2016-11-22	226
2016-11-23	209
2016-11-24	192
2016-11-25	176
2016-11-26	168
2016-11-27	158
2016-11-28	149
2016-11-29	137
2016-11-30	127
2016-12-01	118
2016-12-02	116
2016-12-03	111
2016-12-04	109
2016-12-05	103
2016-12-06	101
2016-12-07	101
2016-12-08	99
2016-12-09	96
2016-12-10	88
2016-12-11	86
2016-12-12	85
2016-12-13	81
2016-12-14	80
2016-12-15	81
2016-12-16	80
2016-12-17	77
2016-12-18	76
2016-12-19	74
2016-12-20	69
2016-12-21	68
2016-12-22	72
2016-12-23	72
2016-12-24	70
2016-12-25	67
2016-12-26	67
2016-12-27	66
2016-12-28	63
2016-12-29	65
2016-12-30	63
2016-12-31	59
2017-01-01	57
2017-01-02	55
2017-01-03	56
2017-01-04	56
2017-01-05	59
2017-01-06	61
2017-01-07	54
2017-01-08	51
2017-01-09	46
2017-01-10	51
2017-01-11	53
2017-01-12	57
2017-01-13	66
2017-01-14	84
2017-01-15	92
2017-01-16	91
2017-01-17	85
2017-01-18	71
2017-01-19	65
2017-01-20	61
2017-01-21	61
2017-01-22	56
2017-01-23	54
2017-01-24	53
2017-01-25	49
2017-01-26	53
2017-01-27	55
2017-01-28	59
2017-01-29	54
2017-01-30	52
2017-01-31	53
2017-02-01	61
2017-02-02	96
2017-02-03	205
2017-02-04	214
2017-02-05	190
2017-02-06	186
2017-02-07	182
2017-02-08	182
2017-02-09	178
2017-02-10	164
2017-02-11	151
2017-02-12	141
2017-02-13	132
2017-02-14	120
2017-02-15	114
2017-02-16	112
2017-02-17	109
2017-02-18	108
2017-02-19	111
2017-02-20	121
2017-02-21	123
2017-02-22	123
2017-02-23	146
2017-02-24	174
2017-02-25	182
2017-02-26	173
2017-02-27	169
2017-02-28	154
2017-03-01	158
2017-03-02	178
2017-03-03	216
2017-03-04	253
2017-03-05	253
2017-03-06	238
2017-03-07	228
2017-03-08	231
2017-03-09	262
2017-03-10	292
2017-03-11	355
2017-03-12	383
2017-03-13	360
2017-03-14	314
2017-03-15	282
2017-03-16	260
2017-03-17	238
2017-03-18	223
2017-03-19	228
2017-03-20	235
2017-03-21	253
2017-03-22	257
2017-03-23	247
2017-03-24	238
2017-03-25	228
2017-03-26	217
2017-03-27	208
2017-03-28	197
2017-03-29	192
2017-03-30	184
2017-03-31	176
2017-04-01	169
2017-04-02	166
2017-04-03	159
2017-04-04	151
2017-04-05	148
2017-04-06	146
2017-04-07	139
2017-04-08	134
2017-04-09	130
2017-04-10	125
2017-04-11	120
2017-04-12	113
2017-04-13	108
2017-04-14	105
2017-04-15	104
2017-04-16	100
2017-04-17	104
2017-04-18	114
2017-04-19	128
2017-04-20	130
2017-04-21	128
2017-04-22	120
2017-04-23	116
2017-04-24	114
2017-04-25	113
2017-04-26	110
